# time E1 E2 E3 W1 W2 W3 W4 W5 W6
68 0.032257 0.051767 0.01951 -0.08861 -0.05184 -0.015048 0.0027534 0.0086282 0.023033
69 0.029726 0.052384 0.022659 -0.082884 -0.048407 -0.013621 0.003544 0.0089888 0.022172
70 0.027333 0.050931 0.023598 -0.081853 -0.047982 -0.013831 0.00306 0.0083179 0.021286
71 0.021312 0.051052 0.02974 -0.074811 -0.045444 -0.013124 0.0034215 0.0083019 0.019217
72 0.017564 0.052285 0.03472 -0.067453 -0.042136 -0.01148 0.0040316 0.0083185 0.017489
73 0.017311 0.053784 0.036473 -0.064896 -0.040657 -0.010805 0.0046376 0.0088087 0.017119
74 0.014538 0.052353 0.037815 -0.061072 -0.039288 -0.01077 0.0044067 0.0085091 0.016125
75 0.012477 0.051426 0.03895 -0.057174 -0.037905 -0.010596 0.0042591 0.0082768 0.015286
76 0.013115 0.051519 0.038404 -0.05582 -0.036848 -0.010381 0.0043336 0.0084088 0.015163
77 0.016141 0.054943 0.038803 -0.051805 -0.033309 -0.0079491 0.0065065 0.010475 0.01582
78 0.017492 0.057165 0.039673 -0.04972 -0.030726 -0.0057823 0.008515 0.012362 0.016289
79 0.013089 0.0552 0.042111 -0.045478 -0.028193 -0.0041359 0.0097261 0.013113 0.014614
80 0.015349 0.055011 0.039662 -0.040419 -0.023454 -0.00071863 0.012405 0.015478 0.015028
81 0.017879 0.053777 0.035898 -0.033965 -0.01839 0.0023636 0.014353 0.016939 0.015215
82 0.01762 0.049535 0.031914 -0.028049 -0.014339 0.0040709 0.014559 0.016637 0.01416
83 0.016784 0.043187 0.026403 -0.024333 -0.013565 0.0021282 0.01185 0.014069 0.013402
84 0.014745 0.03691 0.022165 -0.023185 -0.013946 -0.00025848 0.0086516 0.010883 0.012087
85 0.01071 0.029948 0.019237 -0.018878 -0.012014 -0.00084347 0.0064968 0.0082526 0.0093628
86 0.010882 0.02553 0.014648 -0.018733 -0.011953 -0.0024439 0.0044507 0.0064614 0.0093057
87 0.010462 0.022463 0.012001 -0.017829 -0.011054 -0.0026581 0.0037482 0.0057478 0.0089517
88 0.011361 0.020318 0.0089575 -0.017329 -0.0096761 -0.0016838 0.0046802 0.00672 0.0093217
89 0.013073 0.020049 0.0069759 -0.016104 -0.0077576 3.7235e-05 0.0062877 0.0082328 0.0096104
90 0.012768 0.019601 0.0068331 -0.014288 -0.0050166 0.0027522 0.0087314 0.010359 0.0091634
91 0.013355 0.019323 0.0059675 -0.012303 -0.0022794 0.0056594 0.01145 0.012771 0.0090985
92 0.013448 0.019781 0.0063336 -0.010295 -0.00033217 0.0078237 0.01328 0.014265 0.0087508
93 0.013376 0.020246 0.0068694 -0.010073 -0.0001765 0.008045 0.01337 0.014297 0.0087277
94 0.013974 0.020549 0.0065758 -0.010521 -0.00023263 0.0083684 0.013691 0.014592 0.0091234
95 0.014693 0.020827 0.0061339 -0.010575 -0.00022667 0.0086385 0.014127 0.015076 0.0093935
96 0.013658 0.019766 0.006108 -0.0099129 -0.00083881 0.0082347 0.013879 0.014767 0.008913
97 0.012534 0.018503 0.0059695 -0.0095803 -0.0013943 0.007441 0.012961 0.013855 0.0082826
98 0.011915 0.017188 0.0052735 -0.008979 -0.0016918 0.0068406 0.012197 0.01308 0.0079347
99 0.010955 0.015813 0.0048576 -0.0081146 -0.0018485 0.0063622 0.011348 0.012114 0.0073085
100 0.010023 0.015092 0.0050695 -0.0075231 -0.0020002 0.0060553 0.010821 0.01153 0.0068716
101 0.0090941 0.014661 0.0055669 -0.0078865 -0.002932 0.0049956 0.0096971 0.010424 0.0062933
102 0.008585 0.014674 0.0060888 -0.0079643 -0.0029858 0.0046961 0.0091117 0.0097373 0.0057388
103 0.0083849 0.014519 0.006134 -0.0076435 -0.0025689 0.0049572 0.009012 0.0095355 0.0054343
104 0.0086748 0.01445 0.0057752 -0.0077504 -0.0023943 0.0050999 0.0090544 0.0095384 0.0058165
105 0.0091603 0.014532 0.0053716 -0.0074219 -0.0019223 0.0054215 0.0092399 0.009649 0.0058807
106 0.0089805 0.014071 0.0050906 -0.0066282 -0.0013796 0.005493 0.0088627 0.0091505 0.0057739
107 0.0076711 0.012395 0.0047242 -0.0055254 -0.00092962 0.0049794 0.0078156 0.0080093 0.0048525
108 0.0051901 0.0089313 0.0037413 -0.0047748 -0.0018138 0.0021785 0.0043449 0.004715 0.003575
109 0.0017657 0.0048278 0.003062 -0.0034111 -0.0023816 -0.0006008 0.00058254 0.00097044 0.0015128
